name,math,sci,value,leng
Armenia ,452,416,36,13
Austria ,508,532,-23,13
Azerbaijan,463,438,25,15
Bahrain ,436,449,-13,13
Chile ,462,480,-19,11
Chinese Taipei-CHN ,591,552,40,24
Croatia,490,516,-26,12
Czech Republic ,511,536,-26,20
Denmark,537,528,9,12
England-GBR ,542,529,14,17
Finland ,545,570,-25,13
Georgia,450,455,-5,12
Hong Kong-CHN,602,535,67,18
Hungary ,515,534,-19,13
Islamic Republic of Iran,431,453,-22,29
Ireland ,527,516,11,13
Italy ,508,524,-16,11
Japan ,585,559,27,11
Kazakhstan,501,495,6,15
Republic of Korea,605,587,18,22
Kuwait,342,347,-5,11
Lithuania ,534,515,19,15
Malta ,496,446,50,11
Morocco ,335,264,71,13
Netherlands,540,531,9,16
New Zealand ,486,497,-11,17
Northern Ireland-GBR ,562,517,46,26
Norway,495,494,1,11
Oman ,385,377,8,10
Poland ,481,505,-24,12
Portugal ,532,522,11,14
Qatar,413,394,19,10
Romania ,482,505,-23,13
Russian Federation ,542,552,-10,24
Saudi Arabia ,410,429,-19,18
Singapore,606,583,22,14
Slovak Republic ,507,532,-25,21
Slovenia ,513,520,-7,14
Spain ,482,505,-23,11
Sweden ,504,533,-30,12
Thailand ,458,472,-14,14
Tunisia ,359,346,14,13
Turkey ,469,463,7,12
United Arab Emirates ,434,428,7,26
United States,541,544,-3,18
Yemen ,248,209,39,11
